week_start,approving,disapproving,unsure_or_no_data,BusinessApplications,ConstructionSpending,DurableGoodsNewOrders,InternationalTrade_Exports,ManuInventories,ManuNewOrders,NewHomesForSale,NewHomesSold,ResConstPermits,ResConstUnitsCompleted,ResConstUnitsStarted,RetailInventories,SalesForRetailAndFood,WholesaleInventories,orders_outcome_var
2005-08-21,43.75,53.0,3.25,204303,1129163,204839,108475,461964,401287,476,1255,2219,1952,2095,455534,343307,357368,0
2005-08-07,43.75,53.0,3.25,204303,1129163,204839,108475,461964,401287,476,1255,2219,1952,2095,455534,343307,357368,0
2005-08-28,43.75,53.0,3.25,204303,1129163,204839,108475,461964,401287,476,1255,2219,1952,2095,455534,343307,357368,0
2005-08-14,43.75,53.0,3.25,204303,1129163,204839,108475,461964,401287,476,1255,2219,1952,2095,455534,343307,357368,0
2007-11-04,32.333333333333336,62.333333333333336,5.333333333333333,213484,1132908,227005,146264,556989,464910,503,641,1224,1390,1197,500361,378860,419306,0
2007-11-18,32.333333333333336,62.333333333333336,5.333333333333333,213484,1132908,227005,146264,556989,464910,503,641,1224,1390,1197,500361,378860,419306,3
2007-11-11,32.333333333333336,62.333333333333336,5.333333333333333,213484,1132908,227005,146264,556989,464910,503,641,1224,1390,1197,500361,378860,419306,3
2007-11-25,32.333333333333336,62.333333333333336,5.333333333333333,213484,1132908,227005,146264,556989,464910,503,641,1224,1390,1197,500361,378860,419306,3
2006-09-17,41.5,53.5,5.0,211803,1135753,234701,124052,516251,435776,559,1016,1655,2011,1720,485983,358961,394224,0
2006-09-10,41.5,53.5,5.0,211803,1135753,234701,124052,516251,435776,559,1016,1655,2011,1720,485983,358961,394224,0
2006-09-24,41.5,53.5,5.0,211803,1135753,234701,124052,516251,435776,559,1016,1655,2011,1720,485983,358961,394224,0
2006-09-03,41.5,53.5,5.0,211803,1135753,234701,124052,516251,435776,559,1016,1655,2011,1720,485983,358961,394224,2
2007-01-07,35.666666666666664,61.0,3.3333333333333335,208770,1137917,222969,130648,524494,427905,538,891,1626,1822,1409,488010,363616,400079,0
2007-01-14,35.666666666666664,61.0,3.3333333333333335,208770,1137917,222969,130648,524494,427905,538,891,1626,1822,1409,488010,363616,400079,0
2007-01-28,35.666666666666664,61.0,3.3333333333333335,208770,1137917,222969,130648,524494,427905,538,891,1626,1822,1409,488010,363616,400079,3
2007-01-21,35.666666666666664,61.0,3.3333333333333335,208770,1137917,222969,130648,524494,427905,538,891,1626,1822,1409,488010,363616,400079,6
2007-02-04,34.5,62.0,3.5,217822,1139032,220962,129481,527703,430410,544,828,1598,1640,1480,489691,364006,401751,0
2007-02-11,34.5,62.0,3.5,217822,1139032,220962,129481,527703,430410,544,828,1598,1640,1480,489691,364006,401751,0
2007-02-25,34.5,62.0,3.5,217822,1139032,220962,129481,527703,430410,544,828,1598,1640,1480,489691,364006,401751,0
2007-02-18,34.5,62.0,3.5,217822,1139032,220962,129481,527703,430410,544,828,1598,1640,1480,489691,364006,401751,2
2015-10-11,46.25,49.75,4.0,243295,1151533,226413,187795,641867,450910,226,482,1160,985,1058,586260,446905,601732,0
2015-10-25,46.25,49.75,4.0,243295,1151533,226413,187795,641867,450910,226,482,1160,985,1058,586260,446905,601732,0
2015-10-18,46.25,49.75,4.0,243295,1151533,226413,187795,641867,450910,226,482,1160,985,1058,586260,446905,601732,0
2015-10-04,46.25,49.75,4.0,243295,1151533,226413,187795,641867,450910,226,482,1160,985,1058,586260,446905,601732,8
2007-10-14,32.0,64.0,4.0,232630,1152491,230700,144525,551124,458907,514,727,1192,1405,1264,500684,375289,414437,0
2007-10-07,32.0,64.0,4.0,232630,1152491,230700,144525,551124,458907,514,727,1192,1405,1264,500684,375289,414437,0
2007-10-28,32.0,64.0,4.0,232630,1152491,230700,144525,551124,458907,514,727,1192,1405,1264,500684,375289,414437,0
2007-10-21,32.0,64.0,4.0,232630,1152491,230700,144525,551124,458907,514,727,1192,1405,1264,500684,375289,414437,4
2015-07-26,46.0,49.0,5.0,237789,1154561,227727,190841,646996,459623,218,506,1140,988,1146,574226,450143,599456,0
2015-07-05,46.0,49.0,5.0,237789,1154561,227727,190841,646996,459623,218,506,1140,988,1146,574226,450143,599456,0
2015-07-12,46.0,49.0,5.0,237789,1154561,227727,190841,646996,459623,218,506,1140,988,1146,574226,450143,599456,0
2015-07-19,46.0,49.0,5.0,237789,1154561,227727,190841,646996,459623,218,506,1140,988,1146,574226,450143,599456,8
2015-12-06,45.75,50.5,3.75,226600,1156354,218027,184517,638229,436169,232,546,1211,1023,1146,587627,450598,596937,0
2015-12-27,45.75,50.5,3.75,226600,1156354,218027,184517,638229,436169,232,546,1211,1023,1146,587627,450598,596937,0
2015-12-13,45.75,50.5,3.75,226600,1156354,218027,184517,638229,436169,232,546,1211,1023,1146,587627,450598,596937,8
2015-12-20,45.75,50.5,3.75,226600,1156354,218027,184517,638229,436169,232,546,1211,1023,1146,587627,450598,596937,4
2007-08-05,33.0,62.5,4.5,218064,1159077,235758,141519,542345,452598,533,699,1321,1512,1330,500179,371358,410271,0
2007-08-26,33.0,62.5,4.5,218064,1159077,235758,141519,542345,452598,533,699,1321,1512,1330,500179,371358,410271,0
2007-08-12,33.0,62.5,4.5,218064,1159077,235758,141519,542345,452598,533,699,1321,1512,1330,500179,371358,410271,2
2007-08-19,33.0,62.5,4.5,218064,1159077,235758,141519,542345,452598,533,699,1321,1512,1330,500179,371358,410271,2
